source,screenName,n
Twitter for Android m06018,POTarnow,1
Twitter for Android m06020,po_wadowice,1
Twitter for Android m06022,POMalopolska,1
Twitter for Android m0604,po_chrzanow,1
Twitter for Android m0605a,PO_Dabrowa_Tarn,1
Twitter for Android m0607,POKrakow,1
Twitter for Android m0608a,po_limanowa,1
Twitter for Android v6,NiePsujcie,1
Twitter for Android12345xc,PO_slupecki,1
Twitter for Android12345xi,PO_wrzesinski,1
Twitter for Android12345xj,PO_zlotowski,1
Twitter for Android12345xn,PO_Konin,1
Twitter for Android123c,PO_obornicki,1
Twitter for Iphone 3674,po_szydlowiecki,1
Twitter for Iphone 5 (2340686),agn1es4ka,1
Twitter for Iphone 5 (2452),natalianatka8,1
Twitter for Iphone 5 (55434),arek_koch,1
Twitter for Iphone 5144,po_sokolowski,1
Twitter for Iphone 5587,po_pultuski,1
Twitter for Iphone 5689,po_grodziski,1
Twitter for Iphone 6359,po_zyrardowski,1
Twitter for iphone 7243,PO_Belchatow,1
Twitter for Iphone 7257,po_plock,1
Twitter for Iphone 7369,po_siedlce,1
Twitter for Iphone 9845,PO_Brzeziny,1
Twitter for iPhone v1,PO_Zachpom,1
Twitter for iPhone v14,PO_Walcz,1
Twitter for iPhone v19,po_drawsko,1
Twitter for iPhone v5,PO_Gryfice,1
Twitter for Iphonee69,PO_Elcki,1
Twitter for Iphonenn9,PO_Nowomiejski,1
Twitter for Iphoneos9,PO_Ostroda,1
Twitter for Iphoness0,PO_Szczytno,1
