text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
#Ciamajdan2 #ZamachLipcowy Stop Dyktatury Kobiet! Stop dyktatury kobiet ! A przepraszam. Ju≈º mi siƒô miesza za czym dzi≈õ spƒôd. Za du≈ºo tego .,FALSE,0,NA,2017-07-16T15:42:26Z,FALSE,NA,886611993427365888,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",energetykPL_RPA,0,FALSE,FALSE,NA,NA
"""Twierdzi...""
S≈Çowo wykorzystywane przez #TVPiS 
Ale≈º skƒÖd, jaki to zamach stanu, przecie≈º to #dobrazmiana!  Ì†ΩÌ∏µ‚Ä¶ https://t.co/Ul3Z64TbPY",FALSE,3,NA,2017-07-16T15:21:30Z,TRUE,NA,886606724492406788,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Podkanski_S,0,FALSE,FALSE,NA,NA
"Wyobra≈∫cie sobie jaki by≈Çby dym, gdyby per.Kurdupel powiedzia≈Ç o niej T≈ÅUSTA ≈öWINIA! 

#ZamachLipcowy",FALSE,2,NA,2017-07-16T15:04:32Z,FALSE,NA,886602455504625669,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ESikorka85,0,FALSE,FALSE,NA,NA
"Brawo Adam Michnik. Nie mo≈ºna pracownik√≥w TVP nazywaƒá inaczej, bo to grzech i zeszmacenie. #TVP #SƒÖdNajwy≈ºszy #Zamachlipcowy #ZdrajcyzPiS",FALSE,3,NA,2017-07-16T14:48:42Z,FALSE,NA,886598471226195969,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Polak_Patriota,1,FALSE,FALSE,NA,NA
"#ZamachLipcowy
Prezes oglƒÖda tvn Ì†ΩÌ∏ÅÌ†ΩÌ∏Å https://t.co/Q8Xji8UYUW",FALSE,5,NA,2017-07-16T14:45:45Z,FALSE,NA,886597729052438528,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ESikorka85,0,FALSE,FALSE,NA,NA
#ZamachLipcowy  taka niezrƒôczna sytuacja. Nad WartƒÖ w Poznaniu i nad Wis≈ÇƒÖ w Warszawie wiƒôcej parƒô razy os√≥b ni≈º pod sejmem,FALSE,0,NA,2017-07-16T14:33:25Z,FALSE,NA,886594624009248771,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",energetykPL_RPA,0,FALSE,FALSE,NA,NA
"Sowieckie pop≈Çuczyny-Andrzej Celi≈Ñski o tych wszystkich, kt√≥rzy demolujƒÖ polskƒÖ demokracjƒô. 
#ZamachLipcowy 
#Obro≈ÑmyDemokracje",FALSE,0,NA,2017-07-16T14:29:42Z,FALSE,NA,886593689375694850,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",StoklosaMarzena,0,FALSE,FALSE,NA,NA
#ZamachLipcowy #pucz ilo≈õƒá os√≥b dzis pokazuje jedno. Polacy chcƒÖ zmian i dajƒÖ mandat PiS,FALSE,3,NA,2017-07-16T14:18:12Z,FALSE,NA,886590797273018368,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",energetykPL_RPA,1,FALSE,FALSE,NA,NA
#ZamachLipcowy Gdzie te t≈Çumy !!!  Gdzie te t≈Çumy !!!  Gdzie te t≈Çumy !!! Gdzie te t≈Çumy !!!   Gdzie te t≈Çumy !!!   Gdzie te t≈Çumy !!!,FALSE,1,NA,2017-07-16T14:14:34Z,FALSE,NA,886589880859578370,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",wojciechszewcz1,0,FALSE,FALSE,NA,NA
"Dlaczego ona tak krzyczy? Zapomnia≈Ça, ≈ºe mikrofon jej po≈ÇƒÖczyli, czy to tak z przyzwyczajenia? #ZamachLipcowy #Ciamajdan2",FALSE,2,NA,2017-07-16T14:11:03Z,FALSE,NA,886588997853642752,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Cullen_Coco,0,FALSE,FALSE,NA,NA
