L.p.,"Rodzaj statkupowietrznego",Termin,Trasa przelotu
121.,EMB,04.07.2017,WAW-BUD-WAW
122.,CASA,07.07.2017,EPWA-EPKK
123.,CASA,12.07.2017,EPKK-EPWA
124.,CASA,13.07.2017,EPWA-EPKK
125.,CASA,17.07.2017,EPKK-EPWA
126.,EMB,19.07.2017,WAW-BUD-WAW
127.,CASA,21.07.2017,EPWA-EPKK
128.,CASA,24.07.2017,EPKK-EPWA
129.,EMB,26.07.2017,WAW-KRK-WAW
130.,W-3 Sokół,15.08.2017,Jurata-EPWA-EPGD
131.,EMB,23.08.2017,KRK-POZ-WAW
132.,CASA,25-28.08.2017,EPWA-EPKK-EPWA
133.,EMB,29.08.2017,WAW-KTW-WAW
134.,EMB,30.08-01.09.2017,WAW-WRO-GDN-KRK
135.,EMB,04.09.2017,RZE-WAW
136.,EMB,05-06.09.2017,WAW-KRK-WAW
137.,CASA,08.09.2017,EPWA-EPKK
138.,CASA,11.09.2017,EPKK-EPWA
139.,CASA,15.09.2017,EPWA-EPKK
140.,CASA,18.09.2017,EPKK-EPWA
141.,EMB,19-20.09.2017,WAW-SOF-WAW
142.,CASA,25.09.2017,EPKK-EPWA
143.,EMB,28-29.09.2017,WAW-TLL-KRK
144.,CASA,02.10.2017,EPKK-EPWA
146.,CASA,13.10.2017,EPWA-LZIB-EPKK
147.,EMB,18-20.10.2017,WAW-BRU-KRK
148.,CASA,23.10.2017,EPKK-EPWA
149.,CASA,31.10.2017,EPWA-EPKK
150.,CASA,05.11.2017,EPKK-EPWA
151.,EMB,11.11.2017,WAW-KRK
152.,EMB,12.11.2017,KRK-WAW
153.,EMB,16.11.2017,WAW-RZE
154.,EMB,16-17.11.20107,RZE-GOT-KRK
155.,CASA,20.11.2017,EPKK-EPWA
156.,EMB,22-23.11.2017,WAW-LBG-WAW
157.,EMB,24.11.2017,WAW-BRU-KRK
158.,EMB,26.11.2017,KRK-BZG-WAW
159.,EMB,27.11.2017,WAW-BUD-WAW
160.,EMB,28.11-01.12.2017,"WAW-CMN, TUN-WAW"
161.,CASA,01.12.2017,EPWA-EPKT
162.,CASA,03.12.2017,EPKK-EPWA
163.,EMB,08.12.2017,WAW-KRK
